id,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region,ing
21,Chhena kheeri,"Chhena, sugar, milk",vegetarian,31,60,sweet,dessert,Odisha,East,"Bhuna chana,Sugar,Milk"
22,Chhena poda,"Sugar, chenna cheese",vegetarian,10,45,sweet,dessert,Odisha,East,"Sugar,Cottage cheese"
23,Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40,60,sweet,dessert,West Bengal,East,"Flour,Cream,Sugar,Saffron,Lemon,Coconut"
24,Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25,60,sweet,dessert,Odisha,East,"Bhuna chana,Condensed milk,Sugar,Saffron,Cardamom"
25,Ledikeni,"Chhena, sugar, ghee",vegetarian,45,45,sweet,dessert,West Bengal,East,"Bhuna chana,Sugar,Ghee"
26,Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20,30,sweet,dessert,Assam,North East,"Flour,Milk powder,Sugar"
27,Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10,120,sweet,dessert,Bihar,North,"Curd, refined flour,Ghee,Fennel seeds"
28,Mihidana,"Besan flour, sugar, ghee",vegetarian,15,30,sweet,dessert,West Bengal,East,"Besan,Sugar,Ghee"
29,Misti doi,"Milk, jaggery",vegetarian,480,30,sweet,dessert,West Bengal,East,"Milk,Jaggery"
30,Pantua,"Chhena, sugar, ghee, flour",vegetarian,45,45,sweet,dessert,West Bengal,East,"Bhuna chana,Sugar,Ghee, flour"
31,Pithe,"Rice flour, wheat flour",vegetarian,15,35,sweet,dessert,Assam,North East,"Raw Rice,Raw Wheat"
32,Rasabali,"Chenna, sweetened milk",vegetarian,15,30,sweet,dessert,Odisha,East,"Bhuna chana,Condensed milk"
33,Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180,60,sweet,dessert,West Bengal,East,"Bhuna chana,Milk,Pistachio"
34,Rasgulla,"Chhena, sugar, cardamom",vegetarian,10,90,sweet,dessert,West Bengal,East,"Bhuna chana,Sugar,Cardamom"
35,Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30,20,sweet,dessert,West Bengal,East,"Milk,Sugar,Saffron,Cardamom"
36,Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10,50,sweet,dessert,West Bengal,East,"Raw Rice,Jaggery,Ghee,Oil,Cardamom"
37,Ariselu,"Rice flour, jaggery, ghee",vegetarian,15,75,sweet,dessert,Andhra Pradesh,South,"Raw Rice,Jaggery,Ghee"
38,Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5,35,sweet,dessert,Andhra Pradesh,South,"Besan,Jaggery,Cardamom,Ghee,Cashew nut,Jaggery,Sugar"
39,Chikki,"Peanuts, jaggery",vegetarian,10,20,sweet,dessert,Maharashtra,West,"Peanuts,Jaggery"
40,Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20,60,sweet,dessert,Karnataka,South,"Milk,Sugar,Milk"
41,Double ka meetha,"Loaf bread, milk",vegetarian,20,30,sweet,dessert,Telangana,South,"Bread,Milk"
42,Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Raw Rice,Sugar,Rock salt,Ghee,Raw Wheat"
43,Kakinada khaja,"Wheat flour, sugar",vegetarian,10,30,sweet,dessert,Andhra Pradesh,South,"Raw Wheat,Sugar"
44,Kuzhi paniyaram,"Black lentils, rice",vegetarian,10,20,sweet,dessert,Kerala,South,"Black lentils,Raw Rice"
45,Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5,20,sweet,dessert,Karnataka,South,"Besan,Raw Wheat,Moong beans,Jaggery,Coconut,Milk powder,Sugar,Ghee"
46,Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180,60,sweet,main course,Karnataka,South,"Maida flour,Turmeric,Coconut,Chickpeas,Jaggery,Ghee,Cardamom"
47,Palathalikalu,"Rice flour, milk",vegetarian,10,25,sweet,dessert,Andhra Pradesh,South,"Raw Rice,Milk"
48,Poornalu,"Chana dal, jaggery",vegetarian,240,60,sweet,dessert,Andhra Pradesh,South,"Chana dal,Jaggery"
49,Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5,20,sweet,dessert,Tamil Nadu,South,"Raw Rice,Jaggery,Cashew nut,Ghee"
50,Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10,60,sweet,dessert,Andhra Pradesh,South,"Raw Rice,Sugar,Ghee"
51,Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10,20,sweet,dessert,Telangana,South,"Apricots,Sugar"
52,Sheer korma,"Vermicelli pudding, milk",vegetarian,10,20,sweet,dessert,Telangana,South,"Raw vermicelli,Milk"
53,Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10,20,sweet,dessert,Tamil Nadu,South,"Raw Rice,Banana,Jaggery,Coconut"
54,Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40,15,sweet,dessert,Andhra Pradesh,South,"Raw Rice,Jaggery,Coconut"
55,Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Raw Rice,Jaggery,Khus khus"
56,Basundi,"Sugar, milk, nuts",vegetarian,10,35,sweet,dessert,Gujarat,West,"Sugar,Milk, nuts"
57,Dhondas,"Cucumber, rava",vegetarian,10,50,sweet,dessert,Maharashtra,West,"Cucumber,Rava"
58,Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10,60,sweet,dessert,Gujarat,West,"Milk,Raw Rice,Sugar,Dry fruits"
59,Mahim halwa,"Semolina, sugar",vegetarian,10,25,sweet,dessert,Maharashtra,West,"Raw Wheat,Sugar"
60,Modak,"Rice flour, coconut, jaggery ",vegetarian,10,15,sweet,dessert,Maharashtra,West,"Raw Rice,Coconut,Jaggery"
61,Shankarpali,"Sugar, ghee, maida flour, semolina",vegetarian,10,35,sweet,dessert,Maharashtra,West,"Sugar,Ghee,Maida flour,Raw Wheat"
62,Shrikhand,"Curd, sugar, saffron, cardamom",vegetarian,10,720,sweet,dessert,Maharashtra,West,"Curd,Sugar,Saffron,Cardamom"
63,Sutar feni,"Maida, sugar, ghee",vegetarian,15,55,sweet,dessert,Maharashtra,West,"Maida flour,Sugar,Ghee"
64,Maach Jhol,"Fish, potol, tomato, chillies, ginger, garlic",non vegetarian,10,40,spicy,main course,Assam,North East,"Fish fillet,Tindora,Tomato,Green chilli,Ginger,Garlic"
65,Pork Bharta,"Boiled pork, onions, chillies, ginger and garlic",non vegetarian,31,34,spicy,main course,Tripura,North East,"Pork,Onion,Green chilli,Ginger"
66,Chak Hao Kheer,"Rice, milk, sugar, cardamom",vegetarian,240,45,sweet,dessert,Manipur,North East,"Raw Rice,Milk,Sugar,Cardamom"
67,Galho,"Rice, axone, salt, water, chillies, pork",non vegetarian,5,15,spicy,main course,Nagaland,North East,"Raw Rice, axone,Rock salt,Water,Green chilli,Pork"
68,Aloo gobi,"Cauliflower, potato, garam masala, turmeric, curry leaves",vegetarian,10,20,spicy,main course,Punjab,North,"Cauliflower,Potato,Garam masala,Turmeric,Curry leaves"
69,Aloo tikki,"Rice flour, potato, bread crumbs, garam masala, salt",vegetarian,5,20,spicy,main course,Punjab,North,"Raw Rice,Potato, bread crumbs,Garam masala,Rock salt"
70,Aloo matar,"Potato, peas, chillies, ginger, garam masala, garlic",vegetarian,5,40,spicy,main course,Punjab,North,"Potato,Green peas,Green chilli,Ginger,Garam masala,Garlic"
71,Aloo methi,"Potato, fenugreek leaves, chillies, salt, oil",vegetarian,10,40,bitter,main course,Punjab,North,"Potato,Fenugreek leaves,Green chilli,Rock salt,Oil"
72,Aloo shimla mirch,"Potato, shimla mirch, garam masala, amchur powder, salt",vegetarian,10,40,spicy,main course,Punjab,North,"Potato,Bell pepper,Garam masala, amchur powder,Rock salt"
73,Bhatura,"Chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,Punjab,North,"Chickpeas,Rava,Curd, plain flour,Baking soda"
74,Bhindi masala,"Ladies finger, garam masala, kasuri methi, tomatoes, chili powder",vegetarian,20,30,spicy,main course,Punjab,North,"Ladies finger,Garam masala,Kasuri methi,Tomato,Chili powder"
75,Biryani,"Chicken thighs, basmati rice, star anise, sweet, green chillies",non vegetarian,30,120,spicy,main course,Telangana,South,"Chicken meat,Raw Rice,Star anise, sweet,Green chilli"
76,Butter chicken,"Chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,NCT of Delhi,North,"Chicken meat,Curd,Cream,Garam masala,Cashew nut,Butter"
77,Chana masala,"Chickpeas, tomato paste, garam masala, ginger, red onion, avocado oil",vegetarian,20,30,spicy,main course,Punjab,North,"Chickpeas,Tomato,Garam masala,Ginger,Onion,Oil"
78,Chapati,"Whole wheat flour, olive oil, hot water, all purpose flour",vegetarian,10,10,spicy,main course,Maharashtra,West,"Raw Wheat,Oil,Water, all purpose flour"
79,Chicken razala,"Chicken, dahi, sesame seeds, garam masala powder, cashew nuts, saffron",non vegetarian,10,35,spicy,main course,West Bengal,East,"Chicken meat,Curd,Sesame seeds,Garam masala,Cashew nut,Saffron"
80,Chicken Tikka masala,"Naan bread, tomato sauce, skinless chicken breasts, heavy cream, garam masala",non vegetarian,10,50,spicy,main course,Punjab,North,"Naan bread,Tomato,Chicken meat,Cream,Garam masala"
81,Chicken Tikka,"Chicken, whole wheat bread, rice flour, garam masala powder, whole egg",non vegetarian,120,45,spicy,starter,Punjab,North,"Chicken meat,Bread,Raw Rice,Garam masala,Egg"
82,Chole bhature,"Chole, bhatura, garam masala, bay leaf, cinnamon stick",vegetarian,20,30,spicy,main course,Punjab,North,"Chickpeas, bhatura,Garam masala,Bay leaf,Cinnamon stick"
83,Daal baati churma,"Moong dal, masoor dal, chana dal, wheat flour, almond",vegetarian,10,90,spicy,main course,Rajasthan,West,"Moong dal,Masoor dal,Chana dal,Raw Wheat,Almonds"
84,Daal puri,"Moong dal, garam masala powder, garlic, green chilli, all purpose flour",vegetarian,30,30,spicy,main course,West Bengal,East,"Moong dal,Garam masala,Garlic,Green chilli, all purpose flour"
85,Dal makhani ,"Red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,Punjab,North,"Red beans,Urad dal,Cream,Garam masala,Chili powder"
86,Dal tadka,"Pigeon peas, garam masala, ginger, red onion, kasuri methi",vegetarian,10,30,spicy,main course,Punjab,North,"Green peas,Garam masala,Ginger,Onion,Kasuri methi"
87,Dum aloo,"Baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,Jammu & Kashmir,North,"Potato,Garam masala,Cashew nut,Kasuri methi,Tomato"
88,Poha,"Beaten rice flakes, potato, curry leaves, green chilies, lemon juice",vegetarian,20,30,spicy,snack,Maharashtra,West,"Rice flakes,Potato,Curry leaves,Green chilli,Lemon"
89,Fara,"Chana dal, whole wheat flour, arhar dal, white urad dal, garam masala powder",vegetarian,10,60,spicy,snack,Chhattisgarh,Central,"Chana dal,Raw Wheat, arhar dal,Urad dal,Garam masala"
90,Kachori,"Moong dal, rava, garam masala, dough, fennel seeds",vegetarian,30,60,spicy,snack,Uttar Pradesh,North,"Moong dal,Rava,Garam masala, dough,Fennel seeds"
91,Kadai paneer,"Cottage cheese, bell peppers, gravy, garam masala, cashew nuts",vegetarian,20,30,spicy,main course,Punjab,North,"Cottage cheese,Bell pepper, gravy,Garam masala,Cashew nut"
92,Kadhi pakoda,"Besan, garam masala powder, gram flour, ginger, curry leaves",vegetarian,10,60,spicy,main course,Haryana,North,"Besan,Garam masala,Gram flour,Ginger,Curry leaves"
93,Karela bharta,"Bitter gourd, fennel, garam masala powder, chili powder, amchur powder",vegetarian,20,50,bitter,main course,Punjab,North,"Bitter gourd,Fennel seeds,Garam masala,Chili powder, amchur powder"
94,Khichdi,"Moong dal, green peas, ginger, tomato, green chili",vegetarian,40,20,spicy,main course,Delhi,North,"Moong dal,Green peas,Ginger,Tomato,Green chilli"
95,Kofta,"Paneer, potato, cream, corn flour, garam masala",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Paneer,Potato,Cream,Corn flour,Garam masala"
96,Kulfi falooda,"Rose syrup, falooda sev, mixed nuts, saffron, sugar",vegetarian,45,25,sweet,dessert,Andhra Pradesh,South,"Rose syrup,Falooda sev,Peanuts,Saffron,Sugar"
97,Lauki ke kofte,"Bottle gourd, garam masala powder, gram flour, ginger, chillies",vegetarian,20,40,spicy,main course,Uttar Pradesh,North,"Bottle gourd,Garam masala,Gram flour,Ginger,Green chilli"
98,Lauki ki subji,"Bottle gourd, coconut oil, garam masala, ginger, green chillies",vegetarian,10,20,spicy,main course,Gujrat,West,"Bottle gourd,Oil,Garam masala,Ginger,Green chilli"
99,Litti chokha,"Wheat flour, roasted gram flour, tomato, nigella seeds, chilli",vegetarian,45,60,spicy,main course,Bihar,North,"Raw Wheat,Gram flour,Tomato,Nigella seeds,Green chilli"
100,Makki di roti sarson da saag,"Palak, makki atta, mustard green, garam masala, ginger",vegetarian,25,30,spicy,main course,Punjab,North,"Spinach, makki atta, mustard green,Garam masala,Ginger"
101,Misi roti,"Whole wheat flour, chickpea flour, green chilies",vegetarian,30,30,spicy,main course,Punjab,North,"Raw Wheat, chickpea flour,Green chilli"
102,Mushroom do pyaza,"Mushroom, malai, garam masala, ginger, capsicum",vegetarian,10,30,spicy,main course,Punjab,North,"Mushroom,Malai,Garam masala,Ginger,Bell pepper"
103,Mushroom matar,"Canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,Punjab,North,"Coconut,Green peas,Mushroom,Garam masala,Tomato"
104,Naan,"Whole wheat flour, honey, butter, garlic",vegetarian,60,30,spicy,main course,Punjab,North,"Raw Wheat,Honey,Butter,Garlic"
105,Navrattan korma,"Green beans, potatoes, khus khus, low fat, garam masala powder",vegetarian,25,40,spicy,main course,Uttar Pradesh,North,"French beans,Potato,Khus khus, low fat,Garam masala"
106,Palak paneer,"Cottage cheese, palak, cream, garam masala, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Cottage cheese,Spinach,Cream,Garam masala,Butter"
107,Paneer butter masala,"Paneer, whipping cream, garam masala, cashew nuts, butter",vegetarian,20,40,spicy,main course,Punjab,North,"Paneer,Cream,Garam masala,Cashew nut,Butter"
108,Paneer tikka masala,"Paneer, greek yogurt, tandoori masala, cream, bell pepper",vegetarian,20,40,spicy,main course,Punjab,North,"Paneer,Curd, tandoori masala,Cream,Bell pepper"
109,Pani puri,"Kala chana, mashed potato, boondi, sev, lemon",vegetarian,15,2,spicy,snack,Delhi,North,"Kala chana,Potato,Boondi,Sev,Lemon"
110,Panjeeri,"Whole wheat flour, musk melon seeds, poppy seeds, edible gum, semolina",vegetarian,10,25,sweet,dessert,Uttar Pradesh,West,"Raw Wheat,Musk melon seeds,Poppy seeds,Edible gum,Raw Wheat"
111,Papad,"Urad dal, sev, lemon juice, chopped tomatoes",vegetarian,5,5,spicy,snack,Tamil Nadu,South,"Urad dal,Sev,Lemon,Tomato"
112,Paratha,"Wheat flour, butter, potato, coriander",vegetarian,15,45,spicy,main course,Punjab,North,"Raw Wheat,Butter,Potato,Coriander"
113,Pattor,"Arbi ke patte, sesame seeds, gur, bengal gram flour, imli",vegetarian,10,30,spicy,main course,Rajasthan,West,"Arbi ke patte,Sesame seeds,Jaggery,Gram flour,Tamarind paste"
114,Pindi chana,"Fennel, tea bags, tomato, kasuri methi, cinnamon",vegetarian,500,120,spicy,main course,Punjab,North,"Fennel seeds,Tea bags,Tomato,Kasuri methi,Cinnamon stick"
115,Rajma chaval,"Red kidney beans, garam masala powder, ginger, tomato, mustard oil",vegetarian,15,90,spicy,main course,Delhi,North,"Red beans,Garam masala,Ginger,Tomato, mustard oil"
116,Rongi,"Garam masala powder, tomato, kasuri methi, cinnamon, mustard oil",vegetarian,10,30,spicy,main course,Punjab,North,"Garam masala,Tomato,Kasuri methi,Cinnamon stick, mustard oil"
117,Samosa,"Potatoes, green peas, garam masala, ginger, dough",vegetarian,30,30,spicy,snack,Uttar Pradesh,North,"Potato,Green peas,Garam masala,Ginger, dough"
118,Sattu ki roti,"Sattu, atta, dough, filling, mustard oil",vegetarian,10,20,spicy,main course,Bihar,North,"Sattu,Raw Wheat, dough, filling, mustard oil"
119,Shahi paneer,"Cottage cheese, malai, garam masala, ginger, tomato",vegetarian,20,40,spicy,main course,Punjab,North,"Cottage cheese,Malai,Garam masala,Ginger,Tomato"
120,Shahi tukra,"Rose water, milk, white bread slices, saffron, almonds",vegetarian,10,30,sweet,dessert,Telangana,South,"Rose water,Milk,Bread,Saffron,Almonds"
121,Vegetable jalfrezi,"Baby corn, french beans, garam masala, ginger, carrot",vegetarian,10,30,spicy,main course,Punjab,North,"Baby corn,French beans,Garam masala,Ginger,Carrot"
122,Tandoori Chicken,"Greek yogurt, garam masala, kasuri methi, marinade, mustard oil",non vegetarian,240,30,spicy,main course,Punjab,North,"Curd,Garam masala,Kasuri methi, marinade, mustard oil"
123,Tandoori Fish Tikka,"Chickpea flour, biryani masala powder, yogurt, fish fillets, green bell pepper",non vegetarian,240,30,spicy,starter,Punjab,North,"Chickpea flour, biryani masala powder,Curd,Fish fillet,Bell pepper"
124,Attu,"Whole wheat flour, arhar dal, ginger, kala jeera, green chilli",vegetarian,150,25,spicy,snack,Andhra Pradesh,South,"Raw Wheat, arhar dal,Ginger,Nigella seeds,Green chilli"
125,Avial,"Raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,Kerala,South,"Raw banana,Elephant foot yam,French beans,Tindora,Urad dal"
126,Bisi bele bath,"Split pigeon peas, chana dal, urad dal, green peas, french beans",vegetarian,30,45,spicy,main course,Karnataka,South,"Green peas,Chana dal,Urad dal,Green peas,French beans"
127,Currivepillai sadam ,"Chana dal, urad dal, fresh coconut, sesame seeds, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Chana dal,Urad dal,Coconut,Sesame seeds,Curry leaves"
128,Dosa,"Chana dal, urad dal, whole urad dal, blend rice, rock salt",vegetarian,360,90,spicy,snack,Tamil Nadu,South,"Chana dal,Urad dal,Urad dal,Raw Rice,Rock salt"
129,Idiappam,"Rice flour, hot water, grated coconut",vegetarian,120,30,spicy,snack,Tamil Nadu,South,"Raw Rice,Water,Coconut"
130,Idli,"Split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,Andhra Pradesh,South,"Urad dal,Urad dal,Raw Rice,Rice flakes,Rock salt"
131,Kanji,"Carrot, yellow mustard, red chilli, black salt",vegetarian,10,45,spicy,snack,Kerala,South,"Carrot,Mustard seeds,Red chilli,Rock salt"
132,Kaara kozhambu,"Sesame oil, drumstick, tamarind paste, sambar powder, tomato",vegetarian,31,34,spicy,main course,Tamil Nadu,South,"Oil,Drumstick,Tamarind paste, sambar powder,Tomato"
133,Keerai kootu,"Moong dal, chana dal, spinach, urad dal, coconut oil",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Moong dal,Chana dal,Spinach,Urad dal,Oil"
134,Keerai masiyal,"Urad dal, curry leaves, sugar, mustard seeds, spinach",vegetarian,31,34,spicy,main course,Tamil Nadu,South,"Urad dal,Curry leaves,Sugar,Mustard seeds,Spinach"
135,Keerai sadam,"Greens, tomato, mustard seeds, fenugreek seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Greens,Tomato,Mustard seeds,Fenugreek seeds"
136,Keerai poriyal,"Amaranth leaves, split urad dal, mustard seeds, grated coconut, red chili",vegetarian,20,30,spicy,main course,Tamil Nadu,South,"Amaranth leaves,Urad dal,Mustard seeds,Coconut,Red chilli"
137,Beef Fry,"Beef, coconut, garam masala, curry leaves, green chilies, chili powder",non vegetarian,10,60,spicy,main course,Kerala,South,"Beef,Coconut,Garam masala,Curry leaves,Green chilli,Chili powder"
138,Kootu,"Chana dal, urad dal, potato, beans, peas",vegetarian,10,15,spicy,main course,Tamil Nadu,South,"Chana dal,Urad dal,Potato,French beans,Green peas"
139,Kos kootu,"Moong dal, chana dal, cabbage, tamarind, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Moong dal,Chana dal,Cabbage,Tamarind paste,Curry leaves"
140,Koshambri,"Moong dal, cucumber, curry leaves, green chili, lemon juice",vegetarian,10,20,spicy,main course,Karnataka,South,"Moong dal,Cucumber,Curry leaves,Green chilli,Lemon"
141,Kothamali sadam,"Chana dal, urad dal, gooseberry, raw rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Chana dal,Urad dal,Gooseberry,Raw Rice,Curry leaves"
142,Kuzhakkattai,"Sesame oil, raw rice, jaggery, grated coconut",vegetarian,10,90,spicy,main course,Tamil Nadu,South,"Oil,Raw Rice,Jaggery,Coconut"
143,Kuzhambu,"Pearl onions, urad dal, drumsticks, tomato, curry leaves",vegetarian,5,30,spicy,main course,Tamil Nadu,South,"Onion,Urad dal,Drumstick,Tomato,Curry leaves"
144,Masala Dosa,"Chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,Andhra Pradesh,South,"Chana dal,Urad dal,Potato,Raw Rice,Rice flakes"
145,Pachadi,"Coconut oil, cucumber, curd, curry leaves, mustard seeds",vegetarian,10,25,spicy,main course,Andhra Pradesh,South,"Oil,Cucumber,Curd,Curry leaves,Mustard seeds"
146,Paniyaram,"Yogurt, ginger, curry leaves, baking soda, green chilli",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Curd,Ginger,Curry leaves,Baking soda,Green chilli"
147,Papadum,"Lentils, black pepper, vegetable oil",vegetarian,5,5,spicy,snack,Kerala,South,"Lentils,Black pepper,Oil"
148,Paravannam,"Raw rice,  jaggery, milk",vegetarian,31,34,spicy,main course,Kerala,South,"Raw Rice,Jaggery,Milk"
149,Payasam,"Rice, cashew nuts, milk, raisins, sugar",vegetarian,15,30,sweet,dessert,Andhra Pradesh,South,"Raw Rice,Cashew nut,Milk,Raisins,Sugar"
150,Paruppu sadam,"Arhar dal, sambar powder, tomato, curry leaves, fennel seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Arhar dal, sambar powder,Tomato,Curry leaves,Fennel seeds"
151,Pesarattu,"Green moong beans, rice flour",vegetarian,120,20,spicy,snack,Andhra Pradesh,South,"Moong beans,Raw Rice"
152,Poriyal,"Chana dal, urad dal, beans, coconut, mustard",vegetarian,31,34,spicy,main course,Tamil Nadu,South,"Chana dal,Urad dal,French beans,Coconut,Mustard seeds"
153,Puli sadam,"Urad dal, lemon, tamarind, cooked rice, curry leaves",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Urad dal,Lemon,Tamarind paste,Raw Rice,Curry leaves"
154,Rasam,"Tomato, curry leaves, garlic, mustard seeds, hot water",vegetarian,10,35,spicy,main course,Andhra Pradesh,South,"Tomato,Curry leaves,Garlic,Mustard seeds,Water"
155,Puttu,"Brown rice flour, sugar, grated coconut",vegetarian,495,40,spicy,main course,Kerala,South,"Raw Rice,Sugar,Coconut"
156,Sambar,"Pigeon peas, eggplant, drumsticks, sambar powder, tamarind",vegetarian,20,45,spicy,main course,Tamil Nadu,South,"Green peas,Brinjal,Drumstick, sambar powder,Tamarind paste"
157,Sandige,"Thin rice flakes, black sesame seeds, curry leaves",vegetarian,120,60,spicy,main course,Karnataka,South,"Rice flakes,Sesame seeds,Curry leaves"
158,Sevai,"Sevai, parboiled rice, steamer",vegetarian,120,30,spicy,main course,Andhra Pradesh,South,"Raw vermicelli,Raw Rice, steamer"
159,Thayir sadam,"Urad dal, curd, sesame oil, ginger, curry leaves, mustard seeds",vegetarian,10,20,spicy,main course,Tamil Nadu,South,"Urad dal,Curd,Oil,Ginger,Curry leaves,Mustard seeds"
160,Theeyal,"Coconut, whole red beans, masala, sesame oil, tamarind",vegetarian,15,20,spicy,main course,Kerala,South,"Coconut,Red beans, masala,Oil,Tamarind paste"
